id,User1,User2,User3,User4,User5
145,2021,1186,1457,1666,494
146,110,227,1471,1198,226
147,470,1071,965,1828,819
148,2075,1785,1491,1473,1155
149,1128,682,516,1682,150
150,72,188,1773,1334,1013
151,150,1440,1686,971,682
152,593,1809,289,367,1615
153,450,262,241,441,1138
154,188,1773,1334,1013,1014
155,1601,846,1530,1074,1749
156,188,1773,1334,1013,1014
157,788,753,1978,488,835
158,145,1974,1902,1956,781
159,910,132,2033,571,380
161,512,587,1984,1619,1865
162,326,2079,884,2061,11
163,175,562,1150,1588,1957
164,623,1583,2062,567,406
166,1987,1405,5,538,784
168,69,746,842,1395,784
170,265,1322,1118,2001,606
171,821,1566,1765,1773,188
172,2020,1068,1075,609,196
173,1911,1428,1438,1906,1950
174,1302,1015,966,662,1419
175,163,1150,2094,1106,584
176,2034,567,749,1964,1626
177,1623,1330,377,1110,2015
178,119,1029,2015,1992,2043
179,340,1293,1776,333,13
180,1782,188,1773,1334,1013
181,1384,2045,573,786,484
182,458,853,1185,194,1752
183,1508,1427,446,1316,2068
184,999,1656,598,644,477
185,1775,1022,188,1773,1334
186,1483,1312,1773,188,1334
187,699,852,117,1987,417
188,1773,1334,1013,1014,72
189,737,1112,265,2081,773
190,770,932,47,1856,117
191,434,188,1773,1334,1013
192,1501,582,854,2067,672
193,1190,455,1845,1450,859
194,1832,1844,1075,829,1587
195,1420,557,188,1773,1334
196,1594,1832,2008,1947,1566
198,1442,265,747,123,716
200,1997,549,1010,1671,188
201,1089,620,1386,2053,1999
202,1158,372,241,869,254
203,188,1773,1334,1013,1014
204,1857,1340,2057,1951,251
205,1118,657,371,277,1995
206,365,188,1773,1334,1013
207,958,126,1346,415,1197
208,548,1258,828,433,295
209,905,713,72,1511,816
210,913,446,1909,1246,553
211,686,954,257,476,77
212,976,71,1172,2053,188
213,1759,1442,70,1490,225
214,378,985,260,1937,1308
215,188,1773,1334,1013,1014
216,780,1293,887,43,1926
217,1709,177,91,250,102
218,644,959,188,1773,1334
219,741,1613,126,415,1219
220,1964,82,1390,10,1527
223,638,425,383,1808,1666
224,480,1956,1038,699,2014
225,582,1030,685,86,213
226,884,1687,815,146,46
227,110,146,498,1555,781
228,122,188,1773,1334,1013
229,188,1773,1334,1013,1014
230,1717,804,1300,312,1445
231,1726,2061,1757,702,1097
232,585,1308,1120,498,965
233,472,1558,75,703,13
234,822,921,1759,213,1969
235,1296,1313,377,1322,119
236,1646,1215,50,609,1279
237,1964,1566,1133,1441,643
238,1660,250,282,1887,1587
240,911,53,1234,72,1014
241,1619,1358,1138,1604,459
242,1294,1988,1435,498,1555
243,1910,1188,1838,675,862
244,733,645,1533,569,1253
247,1001,1670,1177,705,2027
248,1278,1453,679,31,1198
249,525,639,1176,1743,1613
250,282,1974,292,623,406
251,1067,204,1295,967,876
252,1365,538,310,1780,1578
253,45,256,1606,329,589
254,478,1267,1088,521,1183
255,78,2028,837,936,2006
256,414,253,1788,898,335
257,40,566,1551,1393,935
258,188,1773,1334,1013,1014
259,913,2045,1372,277,62
260,214,1869,486,378,1308
261,1501,953,1479,949,1745
262,153,1110,1232,208,416
263,1881,1466,503,1053,1070
264,38,132,1159,1686,688
265,170,512,2001,198,189
266,1982,2013,1835,1407,1773
267,355,1132,966,1605,1145
268,1174,865,459,2077,827
269,11,1762,456,188,1773
270,188,1773,1334,1013,1014
271,781,339,910,46,417
273,920,1183,1737,1011,557
274,1152,312,1577,1445,1974
275,1010,188,1773,1334,1013
277,1118,1797,914,1615,1277
278,2061,1726,72,231,1014
279,1599,86,1743,582,1519
280,2033,1354,2032,1553,2020
281,709,950,656,1010,188
282,250,623,1792,1889,33
283,43,644,576,2028,1641
284,188,1773,1334,1013,1014
285,931,1530,383,1809,180
286,1071,781,632,339,1808
288,871,925,1709,627,436
289,1020,367,545,521,1566
290,28,188,1773,1334,1013
291,797,1725,385,1178,1736
292,623,962,529,1792,895
293,1568,29,1824,1620,1473
294,980,1554,307,109,982
295,491,1858,877,51,1860
296,1644,188,1773,1334,1013
297,1832,1337,1016,2010,1746
298,1594,1997,125,1707,196
299,1184,1623,541,1829,362
300,668,1686,800,2042,1986
301,2020,1606,2038,414,13
302,1365,875,1521,620,351
303,685,640,334,785,541
304,188,1773,1334,1013,1014
305,1305,1726,1564,701,13
306,650,11,1010,188,1773
307,294,39,1102,980,1231
308,835,1040,2077,378,402
310,1365,1780,1578,1963,252
311,173,1911,838,863,1796
312,1445,110,1398,274,146
313,595,1353,714,1089,1172
314,1509,1083,1388,1351,149
315,511,1566,1795,1441,1797
316,986,839,1442,1619,1982
317,907,764,1411,402,1153
318,1272,965,47,1606,305
319,1183,478,1340,254,1068
320,2094,1223,997,1737,1832
321,1858,499,188,1773,1334
322,700,1954,305,1476,1961
324,1858,738,719,1860,715
325,1089,40,1393,714,313
326,25,1652,11,162,1146
327,1278,2087,159,2033,232
328,1826,691,770,1741,1491
329,1899,1646,243,1795,2037
330,1128,1707,38,1572,2077
331,1788,1896,733,129,1515
332,781,1517,1145,267,1898
333,179,965,1264,340,147
334,1594,849,1530,196,2008
335,256,126,1006,415,568
336,838,904,1212,1835,59
337,1064,418,51,208,877
338,1174,308,109,268,950
339,1071,1808,1564,286,136
340,179,1697,1614,1071,749
341,1395,1991,1751,842,1770
342,1627,2020,1653,196,559
343,865,324,719,640,402
344,188,1773,1334,1013,1014
345,188,1773,1334,1013,1014
346,1566,1220,2020,1275,301
347,1613,1688,545,839,1759
348,875,1615,72,188,1773
349,356,1019,198,1491,366
350,1663,1908,501,1124,1300
351,1742,1365,302,1715,862
352,1028,1722,13,816,1773
353,188,1773,1334,1013,1014
354,188,1773,1334,1013,1014
355,267,2038,545,1797,1014
356,1743,349,582,1111,435
357,1947,1785,919,1797,477
358,1691,1855,658,837,765
359,683,66,1454,117,2052
360,692,1999,1235,74,1618
361,572,1263,339,136,286
362,870,830,36,1872,1160
363,927,521,1772,946,1377
364,1992,137,934,764,1303
365,206,1638,188,1773,1334
366,1888,1289,1212,567,1261
367,289,1323,1259,545,1016
368,643,1405,1789,1036,2086
369,787,1727,1261,567,464
370,329,1778,861,2010,1717
371,657,205,1775,210,124
372,649,431,1670,1483,202
374,188,1773,1334,1013,1014
375,188,1773,1334,1013,1014
376,520,595,1702,877,519
377,595,903,41,235,119
378,214,486,1022,308,1629
380,339,405,1666,910,1532
382,55,1060,1929,234,1759
383,1337,1797,223,975,1318
385,451,1283,1132,1272,797
386,817,568,605,437,719
387,498,1533,1910,778,815
388,2053,621,424,308,1986
390,417,46,1572,305,271
391,1925,205,1809,1677,152
392,188,1773,1334,1013,1014
393,1298,465,1594,1357,1707
394,1816,915,173,1687,1804
395,124,2001,208,170,614
396,73,2080,59,925,64
397,188,1773,1334,1013,1014
398,32,1441,718,1838,1302
399,400,47,781,1429,1145
400,399,47,2023,632,965
401,2076,1950,173,1937,130
402,1428,491,1978,308,1627
403,1865,1337,2021,516,145
404,47,1599,188,1773,1334
405,380,1591,1593,795,1489
406,1322,623,627,606,2010
407,188,1773,1334,1013,1014
408,1407,1966,859,94,430
409,1476,995,1462,322,13
410,578,1387,814,1836,899
411,1034,957,2000,188,1773
412,188,1773,1334,1013,72
413,1308,985,558,1132,1033
414,542,632,1457,339,1715
415,1820,126,1821,470,1828
416,444,777,1089,262,2003
417,1532,852,1895,781,390
418,784,567,1853,1957,1404
419,188,1773,1334,1013,1014
420,1074,495,1979,1471,1440
421,1071,1808,470,965,286
423,136,1209,1956,1456,632
424,763,113,388,372,649
425,1001,1132,1455,1808,223
426,1085,1977,1228,697,447
427,1216,1377,1802,981,1245
428,1210,761,1202,683,1454
430,683,408,643,446,1210
431,38,1508,1196,1797,1277
432,668,614,1444,971,1020
433,1544,208,763,550,1296
434,191,188,1773,1334,1013
435,1743,716,525,356,101
436,2034,871,1407,596,100
437,1715,351,386,302,533
438,188,1773,1334,1013,1014
439,1969,116,957,1694,1382
440,1289,1546,1360,1085,1896
441,568,153,746,1084,386
442,1456,1454,1956,480,932
443,1976,1680,83,489,699
444,416,926,471,1710,2003
446,534,1973,1838,852,686
447,426,1977,1975,697,1101
449,295,108,738,1671,208
450,1350,837,489,1627,541
451,1272,385,47,1198,1559
452,1010,188,1773,1334,1013
453,737,173,710,596,1950
454,91,1125,1827,1929,1309
455,59,398,265,512,1551
456,1509,1058,671,1253,314
457,969,2053,912,241,1944
458,188,1773,1334,1013,1014
459,1174,2077,1978,268,308
460,725,1790,1977,1021,1329
461,1630,725,728,1773,188
462,1992,934,1405,440,1140
463,188,1773,1334,1013,1014
464,913,1964,1566,1831,369
465,1964,1405,315,769,1566
466,938,620,302,1455,1172
467,5,1303,1462,637,1021
468,1707,2077,1899,1394,492
469,1172,715,519,891,33
470,1071,1808,965,477,1666
471,1947,1044,488,2055,196
472,233,2033,2087,75,315
473,1725,2079,1145,961,1489
474,1102,1691,1600,888,2029
475,1797,1001,50,1219,38
476,1708,2033,863,2087,398
477,72,701,816,1014,13
478,1067,254,521,1428,1051
479,1027,286,781,667,498
480,683,66,1038,224,699
481,527,1688,1829,1188,1979
482,1831,1573,1661,1420,188
484,1611,1835,181,520,11
485,1240,1265,1638,188,1773
486,378,79,1773,188,1334
487,1675,514,819,916,1872
488,566,157,1375,720,489
489,1627,402,541,1309,450
490,1273,1405,1946,779,315
491,51,295,1396,402,550
492,1959,2032,1778,468,990
493,188,1773,1334,1013,1010
494,2021,1186,1283,145,243
495,420,267,72,1773,188
496,1846,1841,2046,1254,1025
497,701,1773,188,72,1334
498,778,1533,1027,1555,479
499,188,1773,1334,1013,1014
500,936,1557,20,931,1284
501,1572,350,569,965,1828
502,852,1908,1300,2018,1222
503,38,502,688,690,132
504,1521,1011,525,188,1773
506,520,49,935,686,1089
507,1029,1530,871,362,1019
508,1149,1697,1167,1854,1933
509,188,1773,1334,1013,1014
510,188,1773,1334,1013,1014
511,188,1773,1334,1013,1014
512,839,265,1107,614,1906
513,1223,1271,1052,838,1541
514,1128,965,487,470,1457
515,1964,1333,2092,1844,1329
516,1558,149,2046,1703,614
517,1874,1657,2099,1261,1284
518,1351,413,701,1014,72
519,751,869,1860,800,1978
520,376,506,1702,534,1889
521,741,1428,289,2072,478
523,188,1773,1334,1013,1014
525,36,1743,1107,1935,1111
526,188,1773,1334,1013,1014
527,481,305,1605,1198,1305
529,1671,623,1792,962,292
530,1980,1955,94,188,1773
531,1189,1145,47,399,781
532,1636,29,578,1796,946
533,125,896,1833,437,1639
534,2087,72,1014,816,1773
535,1219,976,1380,1784,1069
536,188,1773,1334,1013,1014
537,188,1773,1334,1013,1014
538,756,667,1033,1833,252
539,1012,59,1010,188,1773
540,1210,1653,683,1532,2
541,1889,1792,1627,623,489
542,1564,414,1726,819,1820
543,1778,1403,315,1231,1220
544,688,1977,2013,765,1995
545,2022,1476,289,1613,1808
546,606,1986,869,1322,377
547,1319,188,1773,1334,1013
548,208,677,828,2100,39
549,1728,623,2093,1702,200
550,491,595,402,1428,51
551,188,1773,1334,1013,1014
552,1166,354,78,188,1334
553,809,795,1229,210,1226
555,679,1053,1017,243,248
556,1806,1818,1054,919,1977
557,1551,1026,135,940,1514
558,413,1308,985,1014,1132
559,1354,2081,342,1627,1615
560,1514,1099,823,2046,1760
561,702,1593,617,405,1961
562,163,90,1588,175,375
563,1061,1792,642,1223,1449
565,1293,1164,1926,1010,188
566,257,40,488,1551,188
567,1992,418,176,829,1470
568,335,441,386,1923,1946
569,501,1683,1263,1485,244
570,1793,1446,1179,957,1005
571,1795,1517,1753,136,286
572,361,2037,898,1023,1564
573,1180,1282,1662,181,1965
574,668,1020,1088,946,1160
575,136,534,700,632,815
576,283,982,897,1167,294
577,1653,1976,1411,1497,188
578,532,29,17,410,749
579,1733,550,2060,433,208
580,1524,1021,818,871,189
581,1899,1615,1562,2068,1844
582,225,22,279,1743,356
583,1796,525,716,12,722
584,175,1106,415,318,659
585,232,1676,1583,1394,1193
586,2100,1064,607,1924,108
587,2042,22,86,746,903
589,1056,45,253,1773,188
590,1458,1465,778,1617,668
592,809,1968,375,1023,859
593,152,1069,878,1369,1476
594,188,1773,1334,1013,1014
595,377,41,51,491,1986
596,100,436,917,1104,1992
598,184,644,2013,688,137
601,1976,1754,1342,18,1242
602,1019,1403,849,1442,1008
603,1807,188,1773,1334,1013
604,659,965,1908,1308,136
605,458,817,386,1185,874
606,1322,546,1999,1623,406
607,2100,586,931,108,1493
608,1644,707,1596,488,549
609,1605,808,787,1527,1519
611,188,1773,1334,1013,1014
612,1821,1120,1140,1565,1387
613,188,1773,1334,1013,1014
614,1107,986,939,1703,432
615,188,1773,1334,1013,1014
616,51,800,1396,877,41
617,1248,417,1593,1532,1895
618,1890,1862,20,1677,1710
619,1566,1133,1705,1406,369
620,2053,302,466,1299,621
621,852,1963,110,425,1780
622,1012,1508,1708,1785,32
623,1792,292,282,541,44
624,2013,398,1534,1350,59
625,94,799,1354,693,728
627,1322,595,406,1860,1846
628,2028,1255,1491,1190,968
629,1416,1911,785,1594,2010
631,2084,84,2008,1832,738
632,286,136,815,1717,137
633,1823,1177,1530,1373,668
634,696,976,1093,753,700
635,1243,1846,919,511,1349
636,1453,853,159,910,1278
637,1021,467,188,1773,1334
638,965,223,1572,1564,136
639,249,264,1733,868,1063
640,709,1792,1627,1264,1889
641,1272,451,1771,1476,289
642,1061,563,1792,14,1223
643,237,430,681,1702,1275
644,218,184,598,959,1653
645,244,1544,1803,188,1773
646,1423,781,1820,1189,1145
647,1883,1255,1016,758,1789
649,372,431,1158,1214,1196
650,789,1879,306,585,1583
651,413,859,1308,985,193
652,1551,1556,1352,265,1100
654,1597,280,991,1525,188
655,188,1773,1334,1013,1014
656,772,1182,281,188,1773
657,1118,205,371,512,741
658,1190,1646,358,236,609
659,604,690,2057,965,136
660,2061,767,911,2070,162
661,1386,1459,601,1976,467
662,966,1132,545,267,930
663,1902,1956,807,34,76
664,784,1470,168,567,1992
665,1952,188,1773,1334,1013
666,852,446,1646,417,155
667,701,72,816,13,1014
668,300,1509,432,971,2042
669,1380,1988,1088,668,1872
670,1566,1220,1821,70,1198
671,456,451,1632,326,339
672,188,1773,1334,1013,1014
673,38,1380,1419,431,2042
674,110,1478,2038,1198,1188
675,243,1102,1821,415,910
676,295,1858,1140,869,188
677,1531,548,738,2100,2060
678,953,1428,2022,1686,1138
679,555,415,126,1820,1318
680,1189,2018,1145,781,646
681,643,1728,1601,1352,2090
682,733,700,149,136,150
683,1038,1210,1454,66,480
684,46,1564,1726,339,305
685,2008,402,1455,1068,511
686,211,446,2033,2046,852
687,188,1773,1334,1013,1014
688,38,2013,1451,1686,503
689,13,188,1773,1014,1334
690,1821,415,965,1726,898
691,1765,1606,1910,1186,1478
692,214,1427,260,1937,898
693,94,625,1414,1079,799
694,1249,1029,596,1551,1242
695,805,1078,1900,188,1773
696,976,1702,1627,1840,1845
697,1154,426,606,43,1101
698,1795,74,1753,571,1075
699,66,187,1639,117,402
700,136,815,1717,632,1053
701,13,1773,188,1334,1013
702,1071,136,286,2061,231
703,233,701,1307,13,816
704,1034,2059,1897,188,1773
705,885,621,1950,793,1194
706,188,1773,1334,1013,1014
707,2088,608,188,1773,1334
708,188,1773,1334,1013,1014
709,640,950,1978,281,1174
710,1243,1900,1258,1824,1343
711,753,1978,835,950,459
712,188,1773,1334,1013,1014
713,25,1511,209,380,1699
714,1211,1232,313,935,1618
715,1172,491,324,1858,469
716,1111,36,525,435,198
717,542,1821,1564,414,1132
718,398,1441,1838,1012,1190
719,324,640,1860,1639,738
720,488,157,1375,1774,188
721,907,1148,1455,1405,685
722,1384,965,808,985,1457
723,1457,414,7,145,79
725,460,1021,806,461,2036
726,188,1773,1334,1013,1014
727,1697,37,563,1238,1204
728,1746,1138,741,596,1309
729,874,1551,1010,188,1773
730,767,680,1707,413,196
731,1773,188,1334,1013,1014
732,853,1909,1300,413,1532
733,682,1001,1430,244,1666
734,567,1832,784,1806,1896
735,188,1773,1334,1013,1014
736,831,893,984,1912,1034
737,2077,23,189,856,1396
738,1860,324,2060,631,295
739,61,1006,1231,1656,432
741,818,1546,1220,1814,1219
742,1605,1765,527,1620,2092
743,2065,1690,2053,1226,1540
744,1892,1010,1773,188,1334
745,53,188,1773,1334,1013
746,1107,839,168,1490,587
747,198,1442,1857,716,734
749,1797,1071,1828,17,415
750,1972,188,1773,1334,1013
751,1890,519,1677,188,1773
752,123,882,1745,1214,1501
753,788,157,1978,1192,378
754,1914,1407,1838,1153,1187
756,188,1773,1334,1013,1014
757,1820,1564,1983,46,1423
758,2038,1256,647,1016,1947
759,1797,749,383,1566,1480
760,1264,402,1592,362,678
761,428,1653,480,683,1454
762,188,1773,1334,1013,1014
763,424,525,433,1011,893
764,541,1342,364,907,317
765,1992,1470,1289,997,989
767,730,773,585,446,210
768,188,1773,1334,1013,1014
769,853,50,465,913,1566
770,132,985,1229,1633,136
771,1116,188,1773,1334,1013
772,656,188,1773,1334,1013
773,895,737,189,1193,767
776,1773,188,1334,1013,1463
777,914,2003,416,277,1190
778,1517,498,632,1808,136
779,1273,2066,490,1692,1323
780,216,1998,1451,1575,730
781,1145,72,286,816,1773
782,1557,544,936,989,1284
784,1405,418,1050,567,1404
785,629,1255,256,1633,253
786,1813,1479,261,649,1862
787,369,1519,1605,609,1403
788,157,753,1978,835,1010
789,650,1574,213,1879,479
790,1080,593,732,1776,925
791,794,188,1773,1334,1013
792,1346,47,173,1272,1384
793,125,1120,136,1821,985
794,1273,1722,188,1773,1334
795,53,502,1300,339,405
797,13,188,1773,1334,1013
798,927,119,108,520,548
799,625,94,754,1622,1286
800,300,84,1986,631,1267
801,260,2064,64,1549,1928
802,188,1773,1334,1013,1014
804,11,1826,230,1784,702
805,695,60,1638,1313,1140
806,1715,725,2029,683,1173
807,1082,1092,663,1934,1902
808,722,609,1255,315,1337
809,875,1229,553,1056,830
810,79,83,443,960,469
812,1157,1833,213,22,86
813,864,1982,1514,1383,1098
814,946,1786,1452,899,410
815,136,1132,700,46,632
816,1773,188,1334,1013,1014
817,386,1414,605,614,939
818,741,1403,609,1832,2062
819,542,1564,147,414,965
820,407,294,1641,188,1334
821,171,612,2010,1052,1313
822,234,1005,1969,921,1694
823,1079,560,1530,1749,1809
824,188,1773,1334,1013,1014
825,989,1053,1439,962,784
826,188,1773,1334,1013,1014
827,268,1040,109,849,1174
828,832,548,208,838,324
829,1688,2032,1832,567,1566
830,1088,1051,45,1056,362
831,129,1505,2,1481,736
832,999,828,1655,71,1887
834,189,1118,20,1428,181
835,308,788,1978,157,753
836,188,1773,1334,1013,1014
837,1635,1972,991,1728,450
838,859,398,1049,1835,837
839,512,1107,746,986,614
840,1192,1712,1295,2042,1303
841,136,1312,614,986,632
842,1382,997,168,69,1969
843,905,1276,1774,1857,1524
844,101,1519,1730,1161,1984
845,869,188,1773,1334,1013
846,91,155,1183,596,1044
847,667,1833,858,538,1351
848,1050,784,1708,1060,567
849,1040,2034,2084,334,1831
850,1611,1427,73,211,370
851,415,1466,1666,339,1457
852,417,502,621,1646,1808
853,769,636,732,1762,130
854,1759,1501,192,583,1157
855,1566,50,2008,1530,643
856,737,2077,1340,23,1267
858,667,538,1351,1053,1753
859,911,838,408,932,534
860,1228,1861,1313,111,1240
861,1808,1071,425,2072,370
862,243,1136,1910,126,1188
863,1566,1190,188,1773,1334
864,1508,813,431,1063,1615
865,1858,268,1174,459,950
868,249,888,1706,371,1752
869,188,1773,1334,1013,1014
870,362,1264,254,188,1773
871,288,2034,436,925,2097
873,542,339,1564,965,1726
874,2066,1551,729,1926,1282
875,1628,809,302,339,2087
876,2081,251,1707,921,1720
877,51,295,491,1396,616
878,593,1369,2054,1131,188
881,1424,1302,1051,398,1936
882,1478,46,1521,1385,2038
884,226,162,1423,2087,830
885,1850,54,339,781,705
886,188,1773,1334,1013,1014
887,119,2015,216,1853,178
888,426,1547,2033,1703,1706
889,1212,784,1340,471,418
890,2077,1010,188,1773,1334
891,1839,44,927,614,469
893,763,1733,1912,736,859
895,773,1574,70,1028,292
896,837,1635,432,1658,991
897,174,188,1773,1334,1013
898,690,572,1869,256,413
899,946,814,1444,1920,1020
900,1641,1902,1946,312,972
903,22,377,1490,1176,587
904,336,1835,838,1194,188
905,209,1446,1873,1413,1071
906,1572,57,1920,1768,1828
907,1889,721,1271,317,541
908,154,1841,188,1773,1334
909,545,12,1107,149,1906
910,339,243,159,271,675
911,859,2070,1568,240,1577
912,2077,1627,459,402,1978
913,1778,464,2013,38,1797
914,277,1393,1827,777,1380
915,478,1158,173,1067,1784
916,479,11,286,1027,498
917,1650,1637,1832,2034,436
919,511,2096,1470,2032,398
920,57,1375,188,1773,1334
921,234,822,1362,957,1720
922,1982,188,1773,1334,1013
924,1113,1791,1116,1578,1593
925,1899,871,288,436,1646
926,444,1273,454,935,1827
927,363,891,716,1551,1158
928,936,1557,255,1284,105
929,1025,37,767,964,1882
930,1088,946,662,830,362
931,51,616,285,1396,1860
932,859,1372,1264,1956,575
933,1313,2084,2034,1566,1911
934,1951,462,1012,364,1309
935,257,40,714,78,211
936,1557,1284,105,2006,928
938,466,1786,1001,1666,1973
939,614,1176,525,36,1107
940,1036,1280,1708,1746,1416
941,1354,79,1973,969,930
942,1693,188,1773,1334,1013
943,1981,188,1773,1334,1013
946,814,1682,930,899,1450
948,1565,837,406,2010,1094
949,1743,1111,261,1925,356
950,1174,709,865,711,1978
951,40,1551,257,557,455
952,1687,1373,1104,673,1773
953,2008,678,1019,1686,1715
954,211,1541,31,1393,117
955,788,1869,214,260,378
957,439,2000,411,1929,921
958,207,1670,188,1773,1334
959,1661,218,1855,644,482
960,79,188,1773,1334,1013
961,1360,1217,473,2092,849
962,292,623,529,1792,1709
963,48,413,898,1226,1308
964,1887,188,1773,1334,1013
965,1572,1564,1828,1606,470
966,1132,1071,267,339,1808
967,1295,173,1214,1051,818
968,94,1491,1255,628,1190
969,1973,457,2053,1944,1656
971,668,1444,432,1509,1483
972,837,1700,33,1085,1885
975,383,1852,1423,1658,1540
976,696,1430,1855,1219,2008
977,1062,1615,1562,2083,188
978,119,1358,1556,235,1623
979,109,1968,1530,1562,1366
980,294,982,697,307,1231
981,1360,2043,1998,427,1582
982,980,576,294,1231,307
984,46,415,451,322,851
985,413,470,1308,1071,1132
986,1107,614,1176,1619,839
987,339,1356,781,1023,1832
989,1977,1480,1085,765,1832
990,784,2032,1084,1746,1506
991,837,1635,1728,896,1987
993,1751,1861,1807,295,1638
994,2052,764,1007,1622,1989
995,409,188,1773,1334,1013
996,1076,1073,1271,1700,1914
997,842,784,718,69,765
998,425,1272,73,1897,227
999,184,832,1207,699,1110
1001,425,475,733,1666,7
1002,1791,1451,1139,1833,1120
1003,1643,1186,1222,1786,1433
1004,1732,1205,188,1773,1334
1005,1382,822,1676,670,1879
1006,1291,61,1790,1261,1438
1007,90,994,163,1150,1588
1008,1050,1335,860,602,426
1009,188,1773,1334,1013,1014
1010,188,1773,1334,1013,1014
1011,1070,1259,1318,920,504
1012,1508,1708,1635,622,1832
1013,1773,188,1334,1014,72
1014,1773,188,1334,1013,72
1015,1816,1373,174,1177,821
1016,1212,567,647,829,758
1017,675,1332,1866,1555,417
1018,1296,491,623,1493,86
1019,953,678,362,2008,602
1020,289,36,2041,574,1682
1021,637,1707,1832,541,460
1022,378,1978,1775,74,346
1023,965,1564,1606,542,375
1024,1467,1028,1974,1157,65
1025,1846,1206,719,1772,496
1026,135,557,241,225,395
1027,479,498,1593,286,1300
1028,352,895,1024,1680,1401
1029,699,73,178,1498,91
1030,225,1720,22,1971,86
1032,563,1144,1061,642,1792
1033,538,1301,413,129,2037
1034,1471,1895,146,411,1385
